rank,event,tier,event_start,final_date,final_date_basis,session,local_start,local_timezone,window_date,ist_start,timing_cells_passed,status,clash_check,continuity_trigger,offer,rights,timing_confidence,upcoming,score
33,Stockholm,250,2026-11-08,2026-11-14,ATP calendar end date (O),Day session,14:00 (modelled),Europe/Stockholm,2026-11-08,18:30,11/12,Early evening: live with start reminder,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,68.2
34,'s-Hertogenbosch,250,2026-06-08,2026-06-14,Weekly event rule (A),Day session,14:00 (modelled),Europe/Amsterdam,2026-06-08,17:30,8/12,Early evening: live with start reminder,No overlap found,Post-Slam follow-through: Roland Garros,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,65.7
35,Stuttgart,250,2026-06-08,2026-06-14,Weekly event rule (A),Day session,14:00 (modelled),Europe/Berlin,2026-06-08,17:30,8/12,Early evening: live with start reminder,No overlap found,Post-Slam follow-through: Roland Garros,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,65.7
36,Bastad,250,2026-07-13,2026-07-19,Weekly event rule (A),Day session,14:00 (modelled),Europe/Stockholm,2026-07-13,17:30,8/12,Early evening: live with start reminder,No overlap found,Post-Slam follow-through: Wimbledon,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,65.7
37,Gstaad,250,2026-07-13,2026-07-19,Weekly event rule (A),Day session,14:00 (modelled),Europe/Zurich,2026-07-13,17:30,8/12,Early evening: live with start reminder,No overlap found,Post-Slam follow-through: Wimbledon,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,65.7
38,Umag,250,2026-07-13,2026-07-19,Weekly event rule (A),Day session,14:00 (modelled),Europe/Zagreb,2026-07-13,17:30,8/12,Early evening: live with start reminder,No overlap found,Post-Slam follow-through: Wimbledon,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,65.7
39,Kitzbuhel,250,2026-07-20,2026-07-26,Weekly event rule (A),Day session,14:00 (modelled),Europe/Vienna,2026-07-20,17:30,8/12,Early evening: live with start reminder,No overlap found,Post-Slam follow-through: Wimbledon,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,65.7
40,Monte-Carlo,Masters 1000,2026-04-05,2026-04-12,Weekly event rule (A),Day session,14:00 (modelled),Europe/Monaco,2026-04-05,17:30,8/12,Early evening: live with start reminder,La Liga fixtures overlapping: 4,No trigger,INR 99 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,64.2
41,Madrid,Masters 1000,2026-04-22,2026-05-03,"Start + 11 days, 12-day Masters (A)",Day session,14:00 (modelled),Europe/Madrid,2026-04-22,17:30,8/12,Early evening: live with start reminder,La Liga fixtures overlapping: 6,No trigger,INR 99 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,64.2
42,Rome,Masters 1000,2026-05-06,2026-05-17,"Start + 11 days, 12-day Masters (A)",Day session,14:00 (modelled),Europe/Rome,2026-05-06,17:30,8/12,Early evening: live with start reminder,La Liga fixtures overlapping: 4,No trigger,INR 99 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,64.2
43,Geneva,250,2026-05-17,2026-05-23,Weekly event rule (A),Final,15:00 (modelled),Europe/Zurich,2026-05-23,18:30,11/12,Early evening: live with start reminder,No overlap found,No trigger,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,60.7
44,'s-Hertogenbosch,250,2026-06-08,2026-06-14,Weekly event rule (A),Final,15:00 (modelled),Europe/Amsterdam,2026-06-14,18:30,11/12,Early evening: live with start reminder,F1: Barcelona Grand Prix,Post-Slam follow-through: Roland Garros,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,60.7
45,Stuttgart,250,2026-06-08,2026-06-14,Weekly event rule (A),Final,15:00 (modelled),Europe/Berlin,2026-06-14,18:30,11/12,Early evening: live with start reminder,F1: Barcelona Grand Prix,Post-Slam follow-through: Roland Garros,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,60.7
46,Eastbourne,250,2026-06-22,2026-06-27,Weekly event rule (A),Day session,14:00 (modelled),Europe/London,2026-06-22,18:30,11/12,Early evening: live with start reminder,No overlap found,No trigger,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,60.7
47,Mallorca,250,2026-06-21,2026-06-27,Weekly event rule (A),Final,15:00 (modelled),Europe/Madrid,2026-06-27,18:30,11/12,Early evening: live with start reminder,No overlap found,No trigger,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,60.7
48,Bastad,250,2026-07-13,2026-07-19,Weekly event rule (A),Final,15:00 (modelled),Europe/Stockholm,2026-07-19,18:30,11/12,Early evening: live with start reminder,F1: Belgian Grand Prix,Post-Slam follow-through: Wimbledon,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,60.7
49,Gstaad,250,2026-07-13,2026-07-19,Weekly event rule (A),Final,15:00 (modelled),Europe/Zurich,2026-07-19,18:30,11/12,Early evening: live with start reminder,F1: Belgian Grand Prix,Post-Slam follow-through: Wimbledon,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,60.7
50,Umag,250,2026-07-13,2026-07-19,Weekly event rule (A),Final,15:00 (modelled),Europe/Zagreb,2026-07-19,18:30,11/12,Early evening: live with start reminder,F1: Belgian Grand Prix,Post-Slam follow-through: Wimbledon,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,60.7
51,Kitzbuhel,250,2026-07-20,2026-07-26,Weekly event rule (A),Final,15:00 (modelled),Europe/Vienna,2026-07-26,18:30,11/12,Early evening: live with start reminder,F1: Hungarian Grand Prix,Post-Slam follow-through: Wimbledon,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,60.7
52,Barcelona,500,2026-04-13,2026-04-19,Weekly event rule (A),Day session,14:00 (modelled),Europe/Madrid,2026-04-13,17:30,8/12,Early evening: live with start reminder,No overlap found,No trigger,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,59.7
53,Munich,500,2026-04-13,2026-04-19,Weekly event rule (A),Day session,14:00 (modelled),Europe/Berlin,2026-04-13,17:30,8/12,Early evening: live with start reminder,No overlap found,No trigger,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,59.7
54,Hamburg,500,2026-05-17,2026-05-23,Weekly event rule (A),Day session,14:00 (modelled),Europe/Berlin,2026-05-17,17:30,8/12,Early evening: live with start reminder,No overlap found,No trigger,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,59.7
55,Shanghai,Masters 1000,2026-10-07,2026-10-18,ATP calendar end date (O),Night session,19:00 (modelled),Asia/Shanghai,2026-10-07,16:30,4/12,Early evening: live with start reminder,F1: Singapore Grand Prix; Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 99 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,58.3
56,Brussels,250,2026-10-19,2026-10-25,ATP calendar end date (O),Day session,14:00 (modelled),Europe/Brussels,2026-10-19,17:30,8/12,Early evening: live with start reminder,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,58.2
57,Lyon,250,2026-10-19,2026-10-25,ATP calendar end date (O),Day session,14:00 (modelled),Europe/Paris,2026-10-19,17:30,8/12,Early evening: live with start reminder,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,58.2
58,Marrakech,250,2026-03-30,2026-04-05,Weekly event rule (A),Day session,14:00 (modelled),Africa/Casablanca,2026-03-30,18:30,11/12,Early evening: live with start reminder,La Liga fixtures overlapping: 2,No trigger,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,53.2
59,Geneva,250,2026-05-17,2026-05-23,Weekly event rule (A),Day session,14:00 (modelled),Europe/Zurich,2026-05-17,17:30,8/12,Early evening: live with start reminder,No overlap found,No trigger,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,50.7
60,Mallorca,250,2026-06-21,2026-06-27,Weekly event rule (A),Day session,14:00 (modelled),Europe/Madrid,2026-06-21,17:30,8/12,Early evening: live with start reminder,No overlap found,No trigger,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,50.7
61,Bucharest,250,2026-03-30,2026-04-05,Weekly event rule (A),Final,15:00 (modelled),Europe/Bucharest,2026-04-05,17:30,8/12,Early evening: live with start reminder,La Liga fixtures overlapping: 2,No trigger,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,43.2
62,Doha,500,2026-02-16,2026-02-22,Weekly event rule (A),Day session,14:00 (modelled),Asia/Qatar,2026-02-16,16:30,4/12,Early evening: live with start reminder,La Liga fixtures overlapping: 1,No trigger,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,38.8
63,Beijing,500,2026-09-30,2026-10-06,ATP calendar end date (O),Night session,19:00 (modelled),Asia/Shanghai,2026-09-30,16:30,4/12,Early evening: live with start reminder,Football not checked (no 2026-27 fixture data captured),No trigger,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,38.8
64,Chengdu,250,2026-09-23,2026-09-29,ATP calendar end date (O),Night session,19:00 (modelled),Asia/Shanghai,2026-09-23,16:30,4/12,Early evening: live with start reminder,F1: Azerbaijan Grand Prix; Football not checked (no 2026-27 fixture data captured),Post-Slam follow-through: US Open,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,37.3
65,Hangzhou,250,2026-09-23,2026-09-29,ATP calendar end date (O),Night session,19:00 (modelled),Asia/Shanghai,2026-09-23,16:30,4/12,Early evening: live with start reminder,F1: Azerbaijan Grand Prix; Football not checked (no 2026-27 fixture data captured),Post-Slam follow-through: US Open,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,37.3
66,Dubai,500,2026-02-23,2026-03-01,Weekly event rule (A),Day session,14:00 (modelled),Asia/Dubai,2026-02-23,15:30,1/12,Early evening: live with start reminder,No overlap found,No trigger,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,36.3
67,Almaty,250,2026-10-19,2026-10-25,ATP calendar end date (O),Final,15:00 (modelled),Asia/Almaty,2026-10-25,15:30,1/12,Early evening: live with start reminder,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,34.8
68,Hong Kong,250,2026-01-05,2026-01-11,Weekly event rule (A),Night session,19:00 (modelled),Asia/Hong_Kong,2026-01-05,16:30,4/12,Early evening: live with start reminder,La Liga fixtures overlapping: 1,No trigger,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,29.8
69,Bucharest,250,2026-03-30,2026-04-05,Weekly event rule (A),Day session,14:00 (modelled),Europe/Bucharest,2026-03-30,16:30,4/12,Early evening: live with start reminder,La Liga fixtures overlapping: 1,No trigger,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,29.8
70,Tokyo,500,2026-09-30,2026-10-06,ATP calendar end date (O),Night session,19:00 (modelled),Asia/Tokyo,2026-09-30,15:30,1/12,Early evening: live with start reminder,Football not checked (no 2026-27 fixture data captured),No trigger,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,28.8
71,Miami,Masters 1000,2026-03-18,2026-03-29,Official order of play (O),Final,12:30 (scheduled),America/New_York,2026-03-29,22:00,8/12,Late: remind + replay,No overlap found,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),High: official order of play (O),False,71.7
72,Halle,500,2026-06-15,2026-06-21,Weekly event rule (A),Night session,19:00 (modelled),Europe/Berlin,2026-06-15,22:30,7/12,Late: remind + replay,No overlap found,Post-Slam follow-through: Roland Garros,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,71.3
73,'s-Hertogenbosch,250,2026-06-08,2026-06-14,Weekly event rule (A),Night session,19:00 (modelled),Europe/Amsterdam,2026-06-08,22:30,7/12,Late: remind + replay,No overlap found,Post-Slam follow-through: Roland Garros,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,62.3
74,Stuttgart,250,2026-06-08,2026-06-14,Weekly event rule (A),Night session,19:00 (modelled),Europe/Berlin,2026-06-08,22:30,7/12,Late: remind + replay,No overlap found,Post-Slam follow-through: Roland Garros,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,62.3
75,Bastad,250,2026-07-13,2026-07-19,Weekly event rule (A),Night session,19:00 (modelled),Europe/Stockholm,2026-07-13,22:30,7/12,Late: remind + replay,No overlap found,Post-Slam follow-through: Wimbledon,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,62.3
76,Gstaad,250,2026-07-13,2026-07-19,Weekly event rule (A),Night session,19:00 (modelled),Europe/Zurich,2026-07-13,22:30,7/12,Late: remind + replay,No overlap found,Post-Slam follow-through: Wimbledon,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,62.3
77,Umag,250,2026-07-13,2026-07-19,Weekly event rule (A),Night session,19:00 (modelled),Europe/Zagreb,2026-07-13,22:30,7/12,Late: remind + replay,No overlap found,Post-Slam follow-through: Wimbledon,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,62.3
78,Kitzbuhel,250,2026-07-20,2026-07-26,Weekly event rule (A),Night session,19:00 (modelled),Europe/Vienna,2026-07-20,22:30,7/12,Late: remind + replay,No overlap found,Post-Slam follow-through: Wimbledon,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,62.3
79,Doha,500,2026-02-16,2026-02-22,Weekly event rule (A),Night session,19:00 (modelled),Asia/Qatar,2026-02-16,21:30,11/12,Late: remind + replay,La Liga fixtures overlapping: 2,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,62.2
80,Monte-Carlo,Masters 1000,2026-04-05,2026-04-12,Weekly event rule (A),Night session,19:00 (modelled),Europe/Monaco,2026-04-05,22:30,7/12,Late: remind + replay,La Liga fixtures overlapping: 6,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,60.8
81,Madrid,Masters 1000,2026-04-22,2026-05-03,"Start + 11 days, 12-day Masters (A)",Night session,19:00 (modelled),Europe/Madrid,2026-04-22,22:30,7/12,Late: remind + replay,La Liga fixtures overlapping: 15,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,60.8
82,Rome,Masters 1000,2026-05-06,2026-05-17,"Start + 11 days, 12-day Masters (A)",Night session,19:00 (modelled),Europe/Rome,2026-05-06,22:30,7/12,Late: remind + replay,La Liga fixtures overlapping: 16,No trigger,Reminder; INR 39 replay default; 10% late discount only as a test arm,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,60.8
